auction_id,lot_number,final_price,low_estimate,high_estimate,is_sold,currency,date,auction_url,item_url,auction_title,art_title,location,art_maker,description
UK050223,1,16510,10000,12000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paolo-venini/UK050223/1,Design,Monumental wall light,London,Paolo Venini,"circa 1954;A canne glass, brass.;114 x 27.5 x 33.5 cm (44 7/8 x 10 7/8 x 13 1/4 in.);Produced by Venini & C., Murano, Italy."
UK050223,2,30480,10000,15000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gio-ponti/UK050223/2,Design,Rare sofa,London,Gio Ponti,"circa 1936;Fabric, stained beech.;75.6 x 290 x 77.5 cm (29 3/4 x 114 1/8 x 30 1/2 in.);Together with a certificate of expertise from the Gio Ponti Archives."
UK050223,3,None,25000,35000,False,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/max-ingrand/UK050223/3,Design,Coffee table,London,Max Ingrand,"circa 1958;African mahogany-veneered wood, coloured mirrored glass.;36.9 cm (14 1/2 in.) high, 80.1 cm (31 1/2 in.) diameter;Manufactured by Fontana Arte, Milan, Italy. Underside of tabletop stamped GALVANIT/FONTANA/8 MAG.1958/ITALY."
UK050223,4,27940,4000,6000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paolo-venini/UK050223/4,Design,Pair of table lamps,London,Paolo Venini,"1950s;Zanfirico glass, coloured pasta vitrea, glass, coloured glass, copper.;Taller: 64 x 36.5 x 36.5 cm (25 1/4 x 14 3/8 x 14 3/8 in.);Produced by Venini & C., Murano, Italy. Base of each impressed VENINI/MURANO."
UK050223,5,35560,5000,7000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gio-ponti/UK050223/5,Design,Rare swivel desk chair,London,Gio Ponti,"circa 1951;Fabric, chestnut, beech, brass.;95 x 64.2 x 64.7 cm (37 3/8 x 25 1/4 x 25 1/2 in.);Together with a certificate of expertise from the Gio Ponti Archives."
UK050223,6,10160,8000,12000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/paolo-buffa/UK050223/6,Design,Cabinet,London,Paolo Buffa,"circa 1940;Oak, oak-veneered wood.;137 x 162.9 x 48 cm (53 7/8 x 64 1/8 x 18 7/8 in.);Executed by Mario Quarti, Milan, Italy. Together with a certificate of expertise from the Paolo Buffa Archive."
UK050223,7,None,15000,20000,False,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/carlo-scarpa/UK050223/7,Design,"Floor lamp, model no. 518",London,Carlo Scarpa,"circa 1942;Coloured glass, lattimo glass, brass.;184.5 cm (72 5/8 in.) high;Manufactured by Venini & C., Murano, Italy."
UK050223,8,20320,5000,7000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gio-ponti/UK050223/8,Design,'Nudo di donna sul letto',London,Gio Ponti,"circa 1955;Oil on panel, in artist's frame.;29.5 x 27.5 cm (11 5/8 x 10 7/8 in.);Framed: 41.1 x 38.2 x 6 cm (16 1/8 x 15 x 2 3/8 in.);Together with a certificate of expertise from the Gio Ponti Archives."
UK050223,9,5080,4000,6000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gio-ponti/UK050223/9,Design,'Donna allo specchio',London,Gio Ponti,"circa 1950;Framed in a painted white wood frame under glass, presented in a white window mount. Painted and reverse-painted glass, mounted on card.;27.9 x 19.9 cm (10 7/8 x 7 7/8 in.);Together with a certificate of expertise from the Gio Ponti Archives."
UK050223,10,69850,15000,20000,True,GBP,26  April  2023,https://www.phillips.com/auctions/auction/UK050223,https://www.phillips.com/detail/gio-ponti/UK050223/10,Design,Pair of rare slip chairs,London,Gio Ponti,"circa 1954;Walnut-veneered wood, sapele-veneered wood, beech, fabric, nickel-plated brass.;Each: 77 x 54.8 x 73 cm (30 3/8 x 21 5/8 x 28 3/4 in.);Executed by Giordano Chiesa, Milan, Italy. Together with a certificate of expertise from the Gio Ponti Archives."
