close_auction_date,hammer_price_orig,hammer_price_usd,final_price,final_price_usd,low_estimate_orig,low_estimate_usd,high_estimate_orig,high_estimate_usd,auction_name,auction_location,auction_id,item_title,lotNumber,is_sold,curreny,artist,auction_url,item_url,auction_house,exhibited,provenance,literature,art_category,description,year_created,height,width,depth,area,unit,is_withdrawn,is_bought_in,is_signed,num_pieces,guarantee,art_type,medium,image_url
12/07/2023 12:43,55000,null,69850,null,60000,null,80000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,Automne (Allegory of Autumn),1,TRUE,GBP,"Jean-Baptiste, called Auguste Clesinger",https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/automne-allegory-of-autumn,Sothebys,,"<p>Possibly Ferdinand Barbedienne (1810-1892);</p><p>private collection, Normandy, France</p>",,null,<p>Jean-Baptiste called Auguste Clesinger</p><p>French</p><p>1814 - 1883</p><p><em>Automne (Allegory of Autumn)</em></p><p><br></p><p>signed and dated: <em>J.CLESINGER. Rome 1864.</em></p><p>white marble on a mahogany base</p><p>marble: 92cm. 36 1/4 in.</p><p>base: 86cm. 33 7/8 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,,null,,null,50000,null,70000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,La baigneuse (The Bather),2,FALSE,GBP,Prosper d'Epinay,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/venus-au-bain-venus-at-her-bath,Sothebys,,"<p>Christie's, London, 2 June 1995, lot 276</p>",,null,<p>Prosper d'Epinay</p><p>French</p><p>1836 - 1914</p><p><em>La baigneuse (The Bather)</em></p><p><br></p><p>signed and dated:<em> P. D. Epinay / 1872</em></p><p>white marble</p><p>97.5cm. 38 3/8 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,10000,null,12700,null,10000,null,15000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,Sketch for The Sluggard,3,TRUE,GBP,"Frederic, Lord Leighton",https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/sketch-for-the-sluggard,Sothebys,,"<p>By family tradition acquired directly from the studio of Frederic Leighton by Paul Paul (1865-1937), United Kingdom;</p><p>thence by descent to the current owners</p>","<p>S. Jones (et. al.), <em>Frederic Leighton (1830-1896), </em>exh. cat. Royal Academy of Arts, London, 1996, p. 202, no. 93 (referenced, unillustrated)</p>",null,<p>Attributed to Frederic Lord Leighton</p><p>British</p><p>1830 - 1896</p><p><em>Sketch for The Sluggard</em></p><p><br></p><p>wax in a glass dome with wood base</p><p>figure: 18cm. 7 1/8 in.</p><p>glass dome and base: 27cm. 10 5/8 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,,null,,null,3000,null,5000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,Pair of seated male figures,4,FALSE,GBP,Alfred Stevens,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/pair-of-seated-male-figures,Sothebys,,,,null,<p>Alfred Stevens</p><p>British</p><p>1817 - 1875</p><p><em>Pair of seated male figures</em></p><p><br></p><p>bronze</p><p>38.5cm. 15 1/8 in. each</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,8000,null,10160,null,4000,null,6000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,Bust of a Man: 'An Aruimi type' or 'Souvenir de voyage de l'expedition Stanley (Soudan anglais)',5,TRUE,GBP,Herbert Ward,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/bust-of-a-man-an-aruimi-type-or-souvenir-de-voyage,Sothebys,,,,null,<p>Herbert Ward</p><p>British</p><p>1863 - 1919</p><p>Bust of a Man: 'An Aruimi type' or 'Souvenir de voyage de l'expedition Stanley (Soudan anglais)'</p><p><br></p><p>signed:&nbsp;<em>Herbert Ward</em></p><p>polychromed terracotta</p><p>39cm. 15 3/8 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,7500,null,9525,null,4000,null,6000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,Bust of a woman: 'Congo Girl' or 'Femme d'Afrique centrale',6,TRUE,GBP,Herbert Ward,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/bust-of-a-woman-congo-girl-or-femme-dafrique,Sothebys,,,,null,<p>Herbert Ward</p><p>British</p><p>1863 - 1919</p><p><em>Bust of a woman: 'Congo Girl' or 'Femme d'Afrique centrale'</em></p><p><br></p><p>signed:&nbsp;<em>Herbert Ward</em></p><p>polychromed terracotta</p><p>39cm. 15 3/8 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,45000,null,57150,null,50000,null,70000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,La Nature se devoilant devant la Science (Nature unveiling itself before science),7,TRUE,GBP,Louis-Ernest Barrias,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/la-nature-se-devoilant-devant-la-science-nature,Sothebys,,,,null,<p>Louis-Ernest Barrias</p><p>French</p><p>1841 - 1905</p><p><em>La Nature se devoilant devant la Science (Nature unveiling itself before science)</em></p><p><br></p><p>signed: <em>E. Barrias</em> and with the <em>SUSSE FRERES EDITEURS PARIS</em> pastille</p><p>partially polychromed white marble silvered and gilt bronze lapis lazuli scarab on a black granite base</p><p>72.5cm. 28 1/2 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,,null,,null,30000,null,50000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,Leda and the Swan,8,FALSE,GBP,Vittorio Caradossi,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/leda-and-the-swan,Sothebys,,"<p>Christie's New York, 10 October 2016, lot 135;</p><p>Private American Collection</p>",,null,<p>Vittorio Caradossi</p><p>Italian</p><p>1861 - 1909</p><p><em>Leda and the Swan</em></p><p><br></p><p>signed:&nbsp;<em>Prof. V. Caradossi / Florence</em></p><p>white marble</p><p>117cm. 46in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,10000,null,12700,null,10000,null,12000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,Satan,9,TRUE,GBP,Jean-Jacques Feuchere,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/satan,Sothebys,,,,null,<p>Jean-Jacques Feuchere</p><p>French</p><p>1807 - 1852</p><p><em>Satan</em></p><p><br></p><p>signed: <em>JFeuchere</em></p><p>bronze green-brown patina</p><p>21.2cm. 8 3/8 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/07/2023 12:43,18000,null,22860,null,20000,null,30000,null,19th & 20th Century Sculpture,London,41ff557e-8e4e-416d-8a80-66ff1ea5e5ea,The Guardian Angel,10,TRUE,GBP,Luigi Bienaime,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture,https://www.sothebys.com/en/buy/auction/2023/19th-20th-century-sculpture/the-guardian-angel,Sothebys,,,,null,<p>Workshop of Luigi Bienaime</p><p>Italian</p><p>1795 - 1878</p><p><em>The Guardian Angel</em></p><p><br></p><p>white marble</p><p>88.5cm. 34 7/8 in.</p>,null,null,null,null,null,null,null,null,null,null,null,null,null,null
